STATE,zipcode
AL,35016
AL,35071
AL,35210
AL,35674
AL,35677
AL,35806
AL,35972
AL,36088
AL,36093
AL,36426
AL,36441
AL,36444
AL,36529
AL,36585
AL,36605
AL,36618
AL,36784
AL,36877
AK,99578
AK,99621
AK,99826
AZ,85003
AZ,85021
AZ,85209
AZ,85335
AZ,86331
AZ,86406
AZ,86413
AR,71646
AR,71837
AR,71956
AR,72068
AR,72135
AR,72415
AR,72425
AR,72450
AR,72459
AR,72569
AR,72577
AR,72633
AR,72940
CA,90039
CA,90047
CA,90062
CA,91042
CA,91325
CA,91768
CA,91790
CA,91792
CA,92056
CA,92067
CA,92121
CA,92230
CA,92242
CA,92411
CA,92532
CA,92571
CA,92704
CA,92831
CA,92865
CA,93105
CA,93117
CA,93243
CA,93261
CA,93268
CA,93313
CA,93510
CA,93518
CA,93531
CA,93940
CA,94015
CA,94085
CA,94158
CA,94514
CA,94561
CA,94591
CA,94612
CA,94710
CA,95004
CA,95023
CA,95060
CA,95111
CA,95126
CA,95258
CA,95328
CA,95336
CA,95365
CA,95388
CA,95435
CA,95439
CA,95469
CA,95527
CA,95546
CA,95567
CA,95686
CA,95689
CA,95692
CA,95864
CA,95988
CA,96016
CO,80010
CO,80019
CO,80105
CO,80207
CO,80454
CO,80477
CO,80514
CO,80540
CO,80648
CO,80735
CO,80750
CO,80951
CO,81071
CO,81073
CO,81141
CO,81433
CO,81501
CT,6021
CT,6078
CT,6241
CT,6351
CT,6365
CT,6413
CT,6473
CT,6489
CT,6770
DE,19971
DC,20019
FL,32033
FL,32124
FL,32211
FL,32223
FL,32266
FL,32305
FL,32423
FL,32430
FL,32439
FL,32445
FL,32653
FL,32696
FL,32707
FL,32837
FL,32925
FL,33014
FL,33028
FL,33051
FL,33066
FL,33154
FL,33185
FL,33334
FL,33436
FL,33572
FL,33703
FL,33716
FL,33777
FL,33854
FL,33930
FL,34105
FL,34237
FL,34433
FL,34691
FL,34741
GA,30030
GA,30087
GA,30126
GA,30152
GA,30345
GA,30346
GA,30413
GA,30721
GA,30733
GA,30828
GA,31312
GA,31558
GA,31701
GA,31805
GA,31808
GA,39846
HI,96719
HI,96790
ID,83211
ID,83543
ID,83633
ID,83830
ID,83846
ID,83872
IL,60108
IL,60157
IL,60409
IL,60410
IL,60465
IL,60657
IL,60933
IL,60936
IL,61063
IL,61104
IL,61251
IL,61285
IL,61345
IL,61472
IL,61542
IL,61815
IL,61820
IL,61844
IL,61882
IL,62082
IL,62244
IL,62343
IL,62378
IL,62434
IL,62523
IL,62668
IL,62707
IL,62818
IL,62864
IL,62893
IL,62964
IN,46001
IN,46040
IN,46044
IN,46069
IN,46151
IN,46157
IN,46176
IN,46229
IN,46356
IN,46385
IN,46391
IN,46601
IN,46628
IN,46732
IN,46767
IN,46805
IN,46933
IN,47175
IN,47235
IN,47325
IN,47373
IN,47531
IN,47535
IN,47550
IN,47568
IN,47619
IN,47660
IN,47802
IN,47861
IN,47944
IN,47993
IA,50115
IA,50147
IA,50153
IA,50206
IA,50263
IA,50266
IA,50327
IA,50448
IA,50540
IA,50557
IA,50619
IA,50651
IA,50672
IA,50843
IA,51027
IA,51049
IA,51106
IA,51108
IA,51650
IA,52035
IA,52052
IA,52072
IA,52151
IA,52160
IA,52168
IA,52171
IA,52251
IA,52320
IA,52333
IA,52565
IA,52625
IA,52753
IA,52755
KS,66061
KS,66091
KS,66214
KS,66546
KS,66743
KS,67029
KS,67037
KS,67038
KS,67118
KS,67223
KS,67330
KS,67354
KS,67441
KS,67455
KS,67623
KS,67869
KY,40033
KY,40052
KY,40068
KY,40118
KY,40171
KY,40175
KY,40210
KY,40347
KY,40370
KY,40422
KY,40484
KY,40507
KY,40940
KY,40988
KY,41051
KY,41421
KY,41659
KY,41833
KY,41862
KY,42160
KY,42266
KY,42345
KY,42409
KY,42436
KY,42453
KY,42642
KY,42649
KY,42754
LA,70353
LA,70358
LA,70448
LA,70462
LA,70517
LA,70525
LA,70581
LA,70586
LA,70710
LA,70763
LA,70772
LA,70788
LA,70817
LA,71071
LA,71220
LA,71291
LA,71369
ME,4020
ME,4049
ME,4085
ME,4224
ME,4347
ME,4359
ME,4416
ME,4554
ME,4564
ME,4606
ME,4617
ME,4743
ME,4762
ME,4763
ME,4917
ME,4969
MD,20623
MD,20674
MD,20740
MD,20751
MD,20770
MD,20886
MD,21012
MD,21048
MD,21076
MD,21117
MD,21239
MD,21502
MD,21539
MD,21550
MD,21632
MD,21654
MD,21676
MD,21758
MD,21787
MD,21813
MA,1106
MA,1109
MA,1346
MA,1440
MA,1505
MA,1721
MA,1929
MA,1945
MA,1984
MA,2025
MA,2045
MA,2360
MA,2458
MA,2481
MA,2542
MA,2543
MA,2652
MA,2747
MA,2767
MA,2770
MI,48041
MI,48054
MI,48062
MI,48064
MI,48092
MI,48096
MI,48202
MI,48212
MI,48237
MI,48417
MI,48502
MI,48601
MI,48624
MI,48662
MI,48748
MI,48875
MI,49046
MI,49076
MI,49093
MI,49103
MI,49224
MI,49240
MI,49265
MI,49326
MI,49347
MI,49629
MI,49632
MI,49649
MI,49676
MI,49733
MI,49762
MI,49895
MI,49915
MI,49953
MI,49965
MN,55055
MN,55060
MN,55073
MN,55362
MN,55382
MN,55987
MN,56003
MN,56057
MN,56080
MN,56083
MN,56098
MN,56174
MN,56216
MN,56221
MN,56241
MN,56266
MN,56303
MN,56332
MN,56442
MN,56520
MN,56556
MN,56567
MN,56573
MN,56601
MN,56725
MN,56744
MS,38683
MS,38868
MS,38927
MS,39116
MS,39146
MS,39167
MS,39176
MS,39216
MS,39348
MO,63031
MO,63044
MO,63133
MO,63431
MO,63435
MO,63538
MO,63561
MO,63828
MO,63939
MO,63943
MO,64083
MO,64120
MO,64123
MO,64625
MO,64628
MO,64635
MO,64660
MO,64667
MO,64866
MO,65239
MO,65247
MO,65254
MO,65258
MO,65285
MO,65301
MO,65486
MO,65583
MO,65588
MO,65604
MO,65637
MO,65650
MO,65731
MO,65733
MO,65768
MO,65772
MT,59001
MT,59074
MT,59215
MT,59241
MT,59414
MT,59731
MT,59750
MT,59820
MT,59866
NE,68010
NE,68047
NE,68144
NE,68341
NE,68431
NE,68455
NE,68643
NE,68757
NE,68812
NE,68850
NE,68862
NE,68935
NE,68940
NE,68941
NE,68958
NE,69022
NE,69034
NV,89008
NV,89110
NV,89130
NV,89412
NV,89423
NV,89445
NV,89821
NH,3032
NH,3044
NH,3052
NH,3076
NH,3087
NH,3261
NH,3607
NH,3837
NH,3853
NJ,7016
NJ,7046
NJ,7078
NJ,7423
NJ,7438
NJ,7444
NJ,7647
NJ,7751
NJ,7760
NJ,7821
NJ,7927
NJ,7932
NJ,8007
NJ,8061
NJ,8066
NJ,8073
NJ,8080
NJ,8081
NJ,8105
NJ,8812
NJ,8830
NM,87013
NM,87021
NM,87036
NM,87114
NM,87701
NM,87821
NM,87936
NM,87942
NM,88318
NM,88426
NY,10035
NY,10170
NY,10588
NY,10709
NY,10917
NY,10922
NY,10956
NY,10962
NY,10987
NY,11215
NY,11542
NY,11706
NY,11959
NY,12065
NY,12070
NY,12095
NY,12108
NY,12122
NY,12136
NY,12154
NY,12418
NY,12469
NY,12501
NY,12502
NY,12531
NY,12563
NY,12592
NY,12732
NY,12834
NY,12843
NY,12917
NY,13029
NY,13034
NY,13061
NY,13308
NY,13365
NY,13603
NY,13673
NY,13678
NY,13730
NY,13780
NY,13809
NY,13811
NY,13850
NY,13862
NY,13901
NY,14134
NY,14167
NY,14170
NY,14203
NY,14304
NY,14454
NY,14710
NY,14715
NY,14847
NY,14903
NC,27018
NC,27258
NC,27560
NC,27610
NC,27705
NC,27830
NC,27874
NC,27922
NC,27929
NC,27937
NC,28174
NC,28425
NC,28433
NC,28457
NC,28643
ND,58012
ND,58052
ND,58053
ND,58059
ND,58060
ND,58061
ND,58301
ND,58384
ND,58413
ND,58563
ND,58725
ND,58843
ND,58845
OH,43056
OH,43080
OH,43204
OH,43217
OH,43222
OH,43447
OH,43607
OH,43758
OH,43945
OH,44054
OH,44149
OH,44333
OH,44514
OH,44641
OH,44805
OH,44818
OH,44866
OH,45002
OH,45118
OH,45162
OH,45223
OH,45224
OH,45378
OH,45382
OH,45385
OH,45417
OH,45628
OH,45658
OH,45696
OH,45821
OH,45865
OK,73021
OK,73027
OK,73059
OK,73080
OK,73095
OK,73128
OK,73440
OK,73505
OK,73570
OK,73722
OK,73742
OK,73835
OK,73841
OK,74115
OK,74131
OK,74333
OK,74644
OK,74734
OK,74764
OK,74827
OK,74864
OK,74881
OK,74932
OK,74944
OK,74953
OR,97070
OR,97106
OR,97450
OR,97456
OR,97526
OR,97641
PA,15017
PA,15022
PA,15110
PA,15202
PA,15218
PA,15322
PA,15436
PA,15551
PA,15849
PA,15864
PA,15948
PA,15949
PA,16030
PA,16034
PA,16037
PA,16051
PA,16055
PA,16132
PA,16239
PA,16323
PA,16415
PA,16501
PA,16647
PA,16661
PA,16665
PA,16669
PA,16673
PA,16740
PA,16936
PA,17052
PA,17058
PA,17098
PA,17268
PA,17365
PA,17366
PA,17772
PA,17812
PA,17815
PA,17846
PA,17878
PA,18103
PA,18428
PA,18451
PA,18517
PA,18519
PA,18801
PA,18833
PA,18976
PA,19004
PA,19046
PA,19150
PA,19330
PA,19342
PA,19343
PA,19344
PA,19406
RI,2813
RI,2818
RI,2857
RI,2895
SC,29072
SC,29113
SC,29172
SC,29403
SC,29543
SC,29574
SC,29607
SC,29834
SC,29845
SC,29936
SD,57266
SD,57268
SD,57317
SD,57328
SD,57384
SD,57456
SD,57472
SD,57632
SD,57759
SD,57760
SD,57762
SD,57785
TN,37062
TN,37064
TN,37079
TN,37148
TN,37306
TN,37727
TN,37731
TN,37756
TN,37760
TN,37873
TN,37920
TN,38011
TN,38049
TN,38112
TN,38241
TN,38355
TN,38506
TN,38569
TX,75092
TX,75215
TX,75234
TX,75254
TX,75477
TX,75490
TX,75762
TX,75840
TX,75845
TX,75850
TX,75980
TX,76011
TX,76031
TX,76040
TX,76123
TX,76133
TX,76247
TX,76457
TX,76466
TX,76569
TX,76627
TX,76665
TX,76701
TX,77008
TX,77009
TX,77059
TX,77090
TX,77316
TX,77334
TX,77401
TX,77433
TX,77476
TX,77510
TX,77541
TX,77547
TX,77612
TX,77640
TX,78009
TX,78010
TX,78056
TX,78066
TX,78104
TX,78116
TX,78160
TX,78229
TX,78254
TX,78256
TX,78335
TX,78341
TX,78606
TX,78626
TX,78757
TX,78877
TX,79001
TX,79036
TX,79261
TX,79359
TX,79567
TX,79602
TX,79849
TX,79904
UT,84022
UT,84062
UT,84119
UT,84324
UT,84627
UT,84655
UT,84739
UT,84761
UT,84775
VT,5048
VT,5081
VT,5667
VT,5770
VT,5825
VA,20136
VA,20141
VA,20152
VA,20180
VA,20186
VA,22151
VA,22304
VA,22406
VA,22482
VA,22603
VA,22831
VA,22952
VA,23503
VA,23663
VA,23833
VA,23834
VA,23894
VA,23963
VA,23964
VA,23967
VA,24011
VA,24082
VA,24112
VA,24137
VA,24161
VA,24171
VA,24216
VA,24239
VA,24474
VA,24549
VA,24572
WA,98024
WA,98027
WA,98031
WA,98057
WA,98101
WA,98118
WA,98251
WA,98321
WA,98338
WA,98355
WA,98359
WA,98391
WA,98409
WA,98418
WA,98512
WA,98544
WA,98584
WA,98605
WA,98628
WA,98814
WA,98817
WA,98828
WA,98843
WA,99001
WA,99025
WA,99344
WA,99350
WA,99357
WV,25007
WV,25081
WV,25159
WV,25169
WV,25209
WV,25243
WV,25253
WV,25268
WV,25275
WV,25403
WV,25404
WV,25524
WV,25559
WV,25825
WV,25921
WV,26056
WV,26059
WV,26104
WV,26273
WV,26321
WV,26385
WV,26581
WI,53217
WI,53581
WI,53583
WI,53704
WI,53916
WI,53954
WI,54141
WI,54173
WI,54424
WI,54441
WI,54560
WI,54566
WI,54720
WI,54754
WI,54850
WI,54874
WI,54896
WI,54971
WI,54982
WY,82060
WY,82435
WY,83013
